2016-07-05 23:09:19,073 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.ufcg.computacao:submission:1.0 @ /home/manoel/git/LEDA/Roteiro-Revisao-Arrays-Interfaces-environment/pom.xml.
2016-07-05 23:09:28,250 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Roteiro-Revisao-Arrays-Interfaces-environment/src/main/java
2016-07-05 23:09:28,251 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Roteiro-Revisao-Arrays-Interfaces-environment/src/test/java
2016-07-05 23:09:28,401 [Worker-12] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 41 sec
2016-07-05 23:09:30,419 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 23:09:30,569 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/Roteiro-Revisao-Arrays-Interfaces-environment/src/main/resources
2016-07-05 23:09:30,573 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 23:09:30,574 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/Roteiro-Revisao-Arrays-Interfaces-environment/src/test/resources
2016-07-05 23:10:59,843 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 23:10:59,845 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/Roteiro-Revisao-Arrays-Interfaces-environment/src/main/resources
2016-07-05 23:10:59,847 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 23:10:59,847 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/Roteiro-Revisao-Arrays-Interfaces-environment/src/test/resources
2016-07-05 23:49:58,915 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 23:49:58,990 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/Roteiro-Revisao-Arrays-Interfaces-environment/src/main/resources
2016-07-05 23:49:58,994 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 23:49:58,995 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/Roteiro-Revisao-Arrays-Interfaces-environment/src/test/resources
2016-07-05 23:50:37,733 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 23:50:37,734 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/Roteiro-Revisao-Arrays-Interfaces-environment/src/main/resources
2016-07-05 23:50:37,736 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 23:50:37,737 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/Roteiro-Revisao-Arrays-Interfaces-environment/src/test/resources
2016-07-05 23:54:22,472 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 23:54:22,473 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/Roteiro-Revisao-Arrays-Interfaces-environment/src/main/resources
2016-07-05 23:54:22,475 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 23:54:22,476 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/Roteiro-Revisao-Arrays-Interfaces-environment/src/test/resources
2016-07-05 23:58:05,553 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 23:58:05,553 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/Roteiro-Revisao-Arrays-Interfaces-environment/src/main/resources
2016-07-05 23:58:05,556 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 23:58:05,557 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/Roteiro-Revisao-Arrays-Interfaces-environment/src/test/resources
2016-07-05 23:58:17,788 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 23:58:17,790 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/Roteiro-Revisao-Arrays-Interfaces-environment/src/main/resources
2016-07-05 23:58:17,795 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 23:58:17,796 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/Roteiro-Revisao-Arrays-Interfaces-environment/src/test/resources
2016-07-06 19:58:24,190 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-07-06 19:59:33,415 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://web.cloud.lsd.ufcg.edu.br:44174/nexus/content/repositories/br.edu.ufcg/org/apache/maven/plugins/maven-clean-plugin/3.0.0/maven-clean-plugin-3.0.0.jar
