alg time sample
MergeSort 558 20000
QuickSort 17 20000
InsertionSort 1019 20000
SelectionSort 1752 20000
MergeSort 175 21000
QuickSort 51 21000
InsertionSort 1073 21000
SelectionSort 1868 21000
MergeSort 111 22000
QuickSort 6 22000
InsertionSort 721 22000
SelectionSort 2041 22000
MergeSort 126 23000
QuickSort 6 23000
InsertionSort 785 23000
SelectionSort 2302 23000
MergeSort 128 24000
QuickSort 7 24000
InsertionSort 973 24000
SelectionSort 2455 24000
MergeSort 136 25000
QuickSort 7 25000
InsertionSort 955 25000
SelectionSort 2712 25000
MergeSort 152 26000
QuickSort 8 26000
InsertionSort 1066 26000
SelectionSort 2879 26000
MergeSort 164 27000
QuickSort 7 27000
InsertionSort 1417 27000
SelectionSort 3273 27000
MergeSort 172 28000
QuickSort 8 28000
InsertionSort 1449 28000
SelectionSort 3357 28000
MergeSort 190 29000
QuickSort 8 29000
InsertionSort 1283 29000
SelectionSort 3583 29000
MergeSort 229 30000
QuickSort 10 30000
InsertionSort 1852 30000
SelectionSort 3833 30000
MergeSort 239 31000
QuickSort 8 31000
InsertionSort 1913 31000
SelectionSort 4092 31000
MergeSort 286 32000
QuickSort 9 32000
InsertionSort 1674 32000
SelectionSort 4421 32000
MergeSort 341 33000
QuickSort 12 33000
InsertionSort 1790 33000
SelectionSort 4625 33000
MergeSort 304 34000
QuickSort 10 34000
InsertionSort 1913 34000
SelectionSort 4879 34000
MergeSort 321 35000
QuickSort 10 35000
InsertionSort 2202 35000
SelectionSort 5376 35000
MergeSort 394 36000
QuickSort 11 36000
InsertionSort 2282 36000
SelectionSort 5561 36000
MergeSort 409 37000
QuickSort 11 37000
InsertionSort 2651 37000
SelectionSort 5881 37000
MergeSort 471 38000
QuickSort 11 38000
InsertionSort 2709 38000
SelectionSort 6169 38000
MergeSort 543 39000
QuickSort 17 39000
InsertionSort 3031 39000
SelectionSort 6604 39000
MergeSort 597 40000
QuickSort 11 40000
InsertionSort 3242 40000
SelectionSort 6903 40000
MergeSort 508 41000
QuickSort 12 41000
InsertionSort 3247 41000
SelectionSort 7501 41000
MergeSort 605 42000
QuickSort 14 42000
InsertionSort 3373 42000
SelectionSort 7725 42000
MergeSort 533 43000
QuickSort 13 43000
InsertionSort 3326 43000
SelectionSort 7882 43000
MergeSort 593 44000
QuickSort 13 44000
InsertionSort 3335 44000
SelectionSort 8232 44000
MergeSort 668 45000
QuickSort 13 45000
InsertionSort 3431 45000
SelectionSort 8556 45000
MergeSort 650 46000
QuickSort 13 46000
InsertionSort 3657 46000
SelectionSort 9244 46000
MergeSort 681 47000
QuickSort 14 47000
InsertionSort 4000 47000
SelectionSort 9389 47000
MergeSort 790 48000
QuickSort 18 48000
InsertionSort 4623 48000
SelectionSort 10191 48000
MergeSort 1159 49000
QuickSort 26 49000
InsertionSort 5141 49000
SelectionSort 10213 49000
MergeSort 1083 50000
QuickSort 16 50000
InsertionSort 4746 50000
SelectionSort 10740 50000
